4240
112	206	7
237	166	4
218	132	6
267	133	10
208	240	10
123	180	10
47	233	4
110	166	4
60	269	10
264	157	10
243	226	4
111	274	10
111	86	10
202	226	4
0	191	4
157	188	4
21	54	4
207	52	9
16	114	7
190	226	4
140	179	4
98	274	10
242	95	10
85	51	10
200	93	4
241	227	10
244	134	7
120	216	4
124	55	9
111	68	10
37	114	7
96	59	10
145	93	4
266	185	4
87	275	4
63	6	6
197	238	10
63	167	9
244	110	10
173	220	10
241	259	10
241	161	10
199	191	4
264	70	10
145	183	10
175	134	7
66	109	9
26	127	10
245	176	10
244	190	10
60	169	10
33	98	10
111	165	9
159	137	10
60	247	10
169	104	4
124	227	10
274	108	4
244	38	10
170	109	9
222	142	6
33	76	10
33	135	10
148	52	9
9	167	9
107	104	4
101	209	10
5	242	10
112	260	10
149	55	9
202	6	6
232	226	4
99	120	10
264	255	10
60	83	10
208	51	10
74	121	9
111	275	4
96	44	10
77	142	6
7	239	10
269	93	4
187	13	6
241	111	10
186	210	4
238	111	10
1	165	9
220	6	6
44	230	4
148	275	4
96	21	10
259	256	7
202	76	10
33	87	10
106	47	10
158	196	8
40	233	4
23	114	7
138	133	10
72	164	9
238	123	5
244	132	6
0	132	6
68	275	4
274	109	9
203	133	10
197	28	10
244	269	10
102	132	6
205	204	8
95	69	7
96	209	10
197	40	10
242	148	10
84	191	4
130	275	4
114	13	3
240	6	6
197	6	6
143	188	4
60	21	10
115	204	4
197	201	10
101	92	9
111	157	10
14	92	9
56	142	3
212	92	9
255	22	7
150	233	4
128	8	7
80	22	5
203	157	10
222	115	10
270	179	4
273	191	4
112	6	6
245	201	10
174	191	4
141	210	4
241	190	10
239	169	10
209	132	6
143	166	4
187	89	7
266	184	9
159	95	10
207	109	9
242	53	10
26	178	10
133	109	9
267	132	6
159	179	4
21	191	4
7	6	6
25	157	10
176	233	4
244	50	10
245	121	9
78	233	4
199	263	4
72	105	4
40	179	4
49	93	4
197	108	4
95	94	7
225	185	4
199	179	4
117	13	6
33	6	6
242	204	8
231	142	6
241	233	4
173	98	10
60	220	10
207	226	8
267	209	10
267	36	5
205	98	10
238	90	10
255	226	4
118	80	10
76	224	7
39	233	4
256	13	3
88	166	4
153	152	8
244	170	10
85	190	10
205	6	6
25	193	4
138	190	10
209	92	9
59	56	5
78	261	7
159	247	10
95	275	4
161	167	9
175	213	5
141	211	9
27	192	10
83	54	4
245	4	10
241	269	10
238	118	10
242	98	10
159	243	10
175	69	7
40	19	4
0	179	4
138	43	10
10	114	7
126	36	7
223	98	10
159	260	10
128	54	4
265	242	10
249	114	7
238	35	10
139	216	4
242	130	10
85	104	4
99	261	7
80	191	4
274	188	4
183	193	4
111	175	10
73	136	7
60	148	10
159	9	10
199	132	6
145	8	7
140	6	6
96	7	10
218	92	9
110	54	4
140	232	10
96	263	4
173	44	10
212	22	5
159	26	5
241	133	10
192	256	7
170	167	9
241	179	4
158	179	4
77	252	9
26	13	3
232	6	6
194	143	10
173	102	10
25	136	7
126	191	4
159	77	10
238	9	10
178	8	7
173	130	10
118	251	4
78	211	9
183	92	9
39	92	9
154	179	4
117	22	7
48	104	4
159	68	10
141	134	7
5	62	10
154	251	4
267	123	5
202	133	10
111	169	10
79	104	4
203	6	6
81	226	4
178	142	6
111	230	4
242	8	7
5	179	4
222	104	4
7	54	4
17	265	7
249	121	9
247	142	6
44	246	5
159	89	7
96	191	4
138	36	5
241	169	10
25	132	6
106	43	10
208	2	10
239	157	10
101	237	10
138	161	10
222	6	6
89	13	3
14	196	4
163	121	9
101	7	10
254	230	4
270	132	6
44	185	4
159	90	10
88	22	5
73	188	4
60	256	7
241	83	10
173	260	10
37	108	4
2	3	4
26	232	10
5	196	4
91	121	9
265	63	10
5	199	10
172	89	7
145	104	4
38	164	9
90	6	6
98	230	4
205	268	10
158	68	10
133	105	4
267	179	4
225	100	4
25	87	10
238	137	10
170	226	4
118	185	4
124	86	10
174	104	4
